Article_id;Authors;Title;Year;Journal;Volume;Issue;1.1.1.1;1.1.1.2.1;1.1.1.2.2;1.1.1.2.3;1.1.1.3;1.1.1.4.1;1.1.1.4.2;1.1.1.4.3;1.1.1.5.1;1.1.1.5.2;1.1.1.6.1;1.1.1.6.2;1.1.1.7;1.1.1.8;1.1.2.1.1;1.1.2.1.2;1.1.2.1.3;1.1.2.1.4;1.1.2.1.5;1.1.2.1.6;1.1.2.1.7;1.1.2.2;1.1.2.3;1.1.2.4;1.1.2.5;1.1.2.6;1.1.2.7;1.1.2.8;1.1.2.9.1;1.1.2.9.2;1.1.2.10;1.1.2.11;1.1.2.12;1.1.2.13;1.1.2.14;1.1.3.1;1.1.3.2;1.1.3.3;1.1.3.4;1.2.1.1.1;1.2.1.1.2;1.2.1.1.3;1.2.1.1.4;1.2.1.2;1.2.1.3.1;1.2.1.3.2;1.2.1.4;1.2.1.5;1.2.2.1.1;1.2.2.1.2;1.2.2.1.3;1.2.2.1.4;1.2.2.2;1.2.2.3;1.2.3.1;1.2.3.2;1.2.3.3;1.2.3.4;2.1.1.1;2.1.1.2;2.1.1.3;2.1.1.4;2.1.1.5;2.1.1.6;2.1.1.7;2.1.1.8;2.1.2.1;2.1.2.2;2.1.2.3;2.1.2.4;2.1.2.5;2.1.2.6;2.1.2.7;2.1.2.8;2.2.1.1;2.2.1.2;2.2.1.3;2.2.1.4;2.2.1.5;2.2.1.6;2.2.1.7;2.2.2.1;2.2.2.2;2.2.2.3;2.2.2.4;2.2.2.5;2.2.2.6;2.2.2.7;2.2.3.1;2.2.3.2;2.2.3.3;2.2.3.4;2.2.3.5;2.2.3.6;2.2.3.7;2.2.3.8;2.2.4.1;2.2.4.2;2.2.4.3;2.2.4.4;2.2.5.1;2.2.5.2;2.2.5.3;2.2.5.4;2.2.5.5;2.2.5.6;2.2.6.1;2.2.6.2;2.2.6.3;2.2.6.4;2.2.6.5;2.2.6.6;2.3.1.1;2.3.1.2;2.3.1.3;2.3.1.4;2.3.1.5;2.3.1.6;2.3.1.7;2.3.2.1;2.3.2.2;2.3.2.3;2.3.2.4;2.3.2.5;2.3.2.6;2.3.3.1;2.3.3.2;2.3.3.3;2.3.3.4;2.4.1.1;2.4.1.2;2.4.1.3;2.4.1.4;2.4.1.5;2.4.1.6;2.4.2.1;2.4.2.2;2.4.2.3;2.4.2.4;2.4.2.5;3.1.1.1;3.1.1.2;3.1.1.3;3.1.1.4;3.1.1.5;3.1.2.1;3.1.2.2;3.1.2.3;3.1.2.4;3.1.2.5;3.1.2.6;3.1.2.7;3.1.3.1;3.1.3.2;3.1.3.3;3.1.3.4;3.1.3.5;3.2.1.1;3.2.1.2;3.2.1.3;3.2.1.4;3.2.1.5;3.2.1.6;3.2.1.7;3.2.1.8;3.2.2.1;3.2.2.2;3.2.2.3;3.2.2.4;3.2.2.5;3.2.3.1;3.2.3.2;3.2.3.3;3.2.3.4;3.2.4.1;3.2.4.2;3.2.4.3;3.2.4.4;3.2.4.5;3.3.1.1;3.3.1.2;3.3.1.3;3.3.1.4;3.3.2.1;3.3.2.2;3.3.2.3;3.3.2.4;3.3.2.5;3.3.3.1;3.3.3.2;3.3.3.3;3.3.4.1;3.3.4.2;3.3.4.3;3.3.4.4;3.3.4.5;3.3.4.6;3.3.4.7;3.4.1.1;3.4.1.2;3.4.1.3;3.4.1.4;3.4.1.5;3.4.2.1;3.4.2.2;3.4.2.3;3.5.1.1;3.5.1.2;3.5.1.3;3.5.1.4;3.5.1.5;3.5.2.1;3.5.2.2;3.5.2.3;3.5.2.4;3.5.3.1;3.5.3.2;3.5.3.3;3.5.3.4;3.5.3.5
1329;"Новоселов С.А.; Попова Л.С.; Иванов П.А.";Нейросетевая технология развития изобретательских компетенций учащихся: применение цифровых двойников и алгоритмов машинного обучения;2025;Информатика и образование;40;4;0;0;0;8;0;8;0;0;0;0;0;0;0;0;0;0;10;0;0;2;0;0;0;0;0;0;0;8;0;8;0;0;0;8;0;0;7;0;0;0;0;8;8;0;8;8;2;2;8;0;8;0;0;0;0;8;0;0;7;0;7;7;7;0;0;0;7;7;0;8;7;0;0;0;0;0;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;7;7;0;0;0;9;0;8;0;8;0;9;8;0;0;0;0;0;0;0;8;0;10;7;0;0;7;7;7;7;0;0;7;0;0;0;0;8;8;0;10;7;7;0;7;0;8;7;7;0;0;0;0;0;0;8;8;7;8;8;0;0;7;0;7;7;7;8;8;7;7;7;7;7;8;9;8;9;8;8;8;0;7;8;7;0;7;9;9;8;8;8;0;8;8;0
1328;"Кожевников М.В.; Корнеева Н.Ю.; Леушканова О.Ю.; Уварина Н.В.; Гнатышина Е.В.";Адаптивные модели дистанционного обучения в профессиональном образовании: интеграция информационных технологий и методологических подходов;2025;Информатика и образование;40;4;0;0;0;0;8;0;0;0;0;0;5;0;0;0;0;0;9;0;0;0;6;0;0;0;0;0;6;6;8;0;0;0;0;0;7;0;10;0;0;0;0;0;0;9;0;0;0;6;0;8;6;0;0;0;0;0;0;8;8;0;7;0;10;9;0;7;8;7;7;8;8;7;0;8;0;0;9;9;0;0;0;7;6;0;0;0;0;0;0;7;0;6;6;6;6;0;6;6;0;0;10;8;7;9;7;0;7;6;0;0;0;0;7;7;0;7;0;0;0;0;0;6;6;0;7;9;8;7;7;8;0;9;0;9;8;10;9;0;9;8;0;0;0;0;9;7;7;7;7;7;7;0;8;9;0;0;8;8;7;7;7;8;7;7;7;7;8;7;8;7;9;8;7;0;7;7;7;8;7;9;8;8;9;7;7;7;7;0;7;7;8;9;9;7;8;8;0;8;9;9;8;9;8;8;9;8;9;9;8;8;8;9;9;9;8;9;9;9;8;8
1327;"Палаткина Г.В.; Палаткин В.В.; Тетерский С.В.; Шаронов А.А.";Влияние интеграции больших данных на фундаментализацию образования специалистов сферы гостеприимства: цифровая трансформация;2025;Информатика и образование;40;4;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;8;0;0;7;0;0;0;0;0;0;0;0;0;10;0;0;0;7;0;7;0;0;0;0;0;0;0;10;0;0;0;0;0;8;0;0;0;0;0;0;8;7;0;7;0;9;8;0;7;8;8;0;0;0;7;0;0;0;0;9;8;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;8;8;0;7;0;0;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;7;8;0;0;0;9;0;8;0;8;0;9;8;0;8;0;0;0;0;0;9;7;7;7;0;0;0;0;9;8;0;0;7;0;0;0;8;8;0;0;0;7;7;0;7;0;9;7;0;0;0;0;0;0;0;7;8;9;0;0;0;0;0;0;0;7;0;9;9;0;8;8;0;0;8;9;0;0;8;8;0;7;8;8;7;0;7;9;8;8;0;8;0;8;8;0
1326;"Авдеева С.М.; Уваров А.Ю.";Оценка готовности выпускников основной школы к жизни в информационном обществе;2025;Информатика и образование;40;4;0;0;10;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;7;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;10;0;0;0;0;0;8;0;0;0;8;8;0;0;0;7;8;0;0;0;0;0;0;7;0;0;0;7;7;0;9;8;0;0;7;0;0;0;0;8;0;0;0;0;0;0;0;7;0;7;0;6;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;7;6;6;0;0;0;0;0;0;0;0;7;9;0;0;0;0;0;8;0;9;7;0;0;0;0;7;8;0;5;5;0;8;0;0;0;0;0;0;9;10;0;0;7;0;0;0;0;7;0;7;0;7;7;0;7;7;0;9;0;0;0;7;7;0;7;0;0;8;0;0;8;8;0;0;0;0;0;0;9;0;9;0;0;9;8;8;0;0;0;9;0;0;7;7;0;0;8;9;8;0;0;8;0;8;8;0
1325;Ярмак К.В.;Основные направления совершенствования аппаратно-программных средств в структуре цифрового сопровождения системы подготовки полицейских кадров;2025;Информатика и образование;40;4;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;5;9;0;0;0;0;7;5;0;7;0;0;0;0;0;0;0;0;0;0;8;0;0;8;0;7;0;0;0;0;7;6;0;0;0;0;0;6;6;0;7;7;7;8;0;9;9;0;0;7;6;0;0;0;8;7;0;0;0;0;0;0;7;0;0;8;7;9;0;8;7;0;0;7;7;0;0;0;0;6;6;0;0;0;0;7;0;7;6;0;0;0;0;0;0;0;0;5;7;0;0;0;0;0;0;8;9;8;0;0;0;0;0;0;0;0;0;9;6;7;6;0;0;7;0;0;8;7;0;0;7;7;0;0;7;7;6;0;6;6;0;7;0;8;7;0;0;7;7;6;6;8;7;7;7;7;0;0;8;0;0;6;6;6;8;8;6;0;0;0;7;0;0;0;0;0;7;0;0;7;7;0;8;0;0;0;0;0;8;0;8;7;7
1330;"Кулик А.Д.; Текучева И.В.; Москалёва М.М.";Применение мультимодальных интерактивных цифровых образовательных ресурсов для повышения когнитивной и поведенческой вовлеченности иностранных обучающихся;2025;Информатика и образование;40;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;5;0;8;7;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;8;0;7;5;0;0;0;5;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;7;0;8;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;7;7;8;0;0;0;0;0;0;0;0;0;5;7;0;0;0;0;10;8;0;8;0;9;0;0;0;8;0;0;0;0;7;7;7;7;0;0;7;0;0;7;7;0;0;0;0;0;0;7;0;7;0;7;7;0;7;0;0;7;0;0;0;0;0;0;0;10;7;0;10;0;0;0;0;0;0;7;7;0;0;7;0;0;0;0;8;9;0;0;9;8;0;0;7;7;0;0;0;9;8;0;0;8;0;8;8;0
1324;Фотина О.В.;К вопросу о цифровой личности и цифровом двойнике в формировании идентичности в дистанционном образовании;2025;Информатика и образование;40;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;7;0;0;0;0;6;0;10;0;0;0;0;0;0;0;5;5;0;0;0;0;8;0;0;7;0;0;0;8;0;0;7;0;7;0;0;0;9;8;6;6;6;6;0;0;7;0;7;7;0;9;0;8;7;0;0;0;0;0;0;6;0;0;6;0;0;0;6;0;0;0;7;0;8;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;6;6;0;7;7;0;6;0;0;0;0;0;8;10;0;0;0;0;7;0;0;0;7;0;7;7;7;0;0;7;7;8;8;8;0;8;0;0;0;0;7;7;7;0;7;7;7;7;7;0;8;7;0;7;7;7;7;7;8;7;0;8;8;8;8;8;0;7;7;7;7;8;8;9;8;0;9;0;0;0;0;0;7;0;7;9;9;7;7;7;0;0;0;0;8;0;8;9;8
1323;"Леонов А.Г.; Мащенко К.А.; Мартынов Н.С.; Шляхов А.В.; Хан Т.Г.";Аналитика и нейросетевая генерация цифрового следа для построения персонализированных образовательных траекторий;2025;Информатика и образование;40;4;0;0;0;0;0;7;7;7;0;0;5;0;0;0;5;8;0;0;0;0;5;5;0;0;0;0;0;0;5;0;0;0;0;0;0;7;7;7;0;0;0;0;0;0;8;8;0;0;0;0;8;0;0;0;0;0;0;7;0;0;0;0;10;9;0;0;0;0;0;0;8;0;9;9;0;0;10;8;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;7;10;9;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;0;0;8;0;0;0;0;0;8;0;9;0;9;0;0;0;7;0;0;0;0;8;0;0;0;7;7;7;0;0;8;0;0;0;8;0;0;0;7;0;0;0;0;0;7;0;0;8;0;0;0;0;8;0;9;0;8;7;0;8;0;0;0;0;0;0;0;7;0;8;0;8;0;0;0;9;9;0;8;0;8;0;7;8;9;0;0;8;9;9;8;0;9;0;9;8;0
1282;Прокуровский А.А.;Применение методов оптимизации маршрутизации и кэширования данных в сетях доставки образовательного контента на основе отечественного программного обеспечения;2025;Информатика и образование;40;3;0;0;0;0;0;2;2;2;8;0;0;0;0;0;0;0;0;0;9;0;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;2;2;8;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;0;9;7;0;0;0;8;0;0;0;0;5;10;0;0;0;7;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;9;0;0;0;0;7;0;0;0;0;0;0;0;0;0;8;8;0;0;0;7;0;0;7;0;0;0;7;7;7;0;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;7;0;7;0;0;0;7;9;0;7;0;0;0;0;0;8;0;0;0;9;8;0;0;9;8;8;7;0
1281;"Григорьев С.Г.; Лернер И.М.; Мариносян А.Х.; Григорьева М.А.";К вопросу подбора учебно-методической информации для реализации адаптивной электронной образовательной среды: алгоритм подбора авторов литературы с учетом эмоционально-психологических особенностей пользователей на базе идей академической генеалогии;2025;Информатика и образование;40;3;0;0;0;0;0;7;7;7;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;9;0;0;0;0;0;0;0;8;8;7;7;0;0;0;0;0;0;0;0;0;8;8;0;0;0;8;9;0;0;0;0;0;0;0;0;10;0;8;0;8;0;0;0;0;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;7;0;9;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;9;8;9;8;0;0;8;8;0;0;7;7;7;0;7;7;0;0;0;0;8;0;0;7;0;0;0;0;7;7;0;0;7;7;0;7;0;7;7;0;0;0;8;7;8;0;8;7;8;8;0;7;7;0;0;0;7;7;0;8;0;8;0;0;8;8;8;7;8;8;8;0;7;9;9;7;0;7;8;8;7;0;8;0;8;9;7
